nome_do_orgao,med_dilma,med_dilma_e_temer,med_bolsonaro
UFPR – Universidade Federal do Paraná,0.0362722867436319,0.018441386594152266,0.020052511336170167
UFPel – Fundação Universidade Federal de Pelotas,0.02027794840294837,,0.023733288394562364
UFRA – Universidade Federal Rural da Amazônia,,0.0114463408132347,
UFRB – Universidade Federal do Recôncavo da Bahia,,0.015031265031264965,0.0183059754691464
UFRGS – Universidade Federal do Rio Grande do Sul,0.029022915293945333,,0.03472025514325577
UFRJ – Universidade Federal do Rio de Janeiro,,0.011376821232089933,0.049950597192583164
UFRN – Universidade Federal do Rio Grande do Norte,,0.005959540732640767,0.013893577445621369
UFRPE – Universidade Federal Rural de Pernambuco,,,
UFRRJ – Universidade Federal Rural do Rio de Janeiro,,,
UFS – Fundação Universidade Federal de Sergipe,,,0.007757980372202867
UFSC – Universidade Federal de Santa Catarina,0.015138576252913566,0.018456035689268267,0.029999671783298865
UFSCar – Fundação Universidade Federal de São Carlos,,0.019149299953340734,0.013792236985878567
UFSM – Universidade Federal de Santa Maria,,0.009442581172538933,0.012149518013555335
UFT – Fundação Universidade Federal do Tocantins,,,
UFTM – Universidade Federal do Triângulo Mineiro,,0.008282354093678,
UFU – Universidade Federal de Uberlândia,0.027328676164935835,0.014246405014769833,0.02830831477890297
UFV – Fundação Universidade Federal de Viçosa,,,0.012217656997954601
UFVJM – Universidade Federal dos Vales do Jequitinhonha e Mucuri,,0.011776811884558633,0.022754733833511936
UNB – Fundação Universidade de Brasília,0.034165975932251465,0.025584349227771863,0.04035916198498684
UNIFAP – Fundação Universidade Federal do Amapá,,,
UNIFESP – Universidade Federal de São Paulo,,,0.04772988623296104
UNILAB – Universidade da Integração Internacional da Lusofonia Afro-Brasileira,,,
UNIPAMPA – Fundação Universidade Federal do Pampa,,,
UNIR – Fundação Universidade Federal de Rondônia,,,0.020972887609143565
UNIRIO – Universidade Federal do Estado do Rio de Janeiro,,,0.006710882898302632
UNIVASF – Fundação Universidade Federal do Vale do São Francisco,,,
UTFPR – Universidade Tecnológica Federal do Paraná,,0.01989453120726267,0.019425199703780066
"VALEC – Engenharia, Construções e Ferrovias S.A.",0.15581074116500676,,
